Country Name,Percentage of Population (%),Fleeing in (2014),Fleeing in (2013),Fleeing in (2012),Fleeing in (2011),Fleeing in (2010),Fleeing in (2009),Fleeing in (2008),Fleeing in (2007),Fleeing in (2006)
Afghanistan,7.59,2596270.0,2556502.0,2586152.0,2664436.0,3054709.0,1905804.0,1817913.0,1909911.0,2107519.0
Albania,0.35,10158.0,10103.0,12568.0,13551.0,14772.0,15711.0,15006.0,15340.0,14080.0
Algeria,0.01,3524.0,3660.0,5673.0,6120.0,6688.0,8184.0,9060.0,10615.0,8353.0
Andorra,0.01,7.0,5.0,7.0,6.0,6.0,6.0,6.0,9.0,10.0
Angola,0.04,9484.0,10286.0,19258.0,128664.0,134858.0,141021.0,171393.0,186155.0,206501.0
Antigua and Barbuda,0.06,53.0,49.0,45.0,32.0,30.0,28.0,26.0,25.0,19.0
Argentina,0.0,318.0,388.0,447.0,518.0,557.0,608.0,1047.0,1171.0,894.0
Armenia,0.39,11848.0,11998.0,15934.0,16486.0,17546.0,18000.0,16336.0,15436.0,14918.0
Australia,0.0,25.0,28.0,48.0,39.0,37.0,28.0,43.0,63.0,29.0
Austria,0.0,10.0,10.0,12.0,11.0,10.0,12.0,14.0,23.0,34.0
Azerbaijan,0.11,10515.0,10814.0,15537.0,16162.0,16753.0,16939.0,16319.0,15916.0,126068.0
Bahamas,0.06,215.0,210.0,196.0,185.0,17.0,15.0,15.0,14.0,14.0
Bahrain,0.03,347.0,275.0,297.0,215.0,87.0,79.0,80.0,73.0,62.0
Bangladesh,0.01,10881.0,9725.0,10156.0,10052.0,10046.0,10432.0,10098.0,10241.0,7803.0
Barbados,0.03,86.0,67.0,55.0,45.0,32.0,29.0,34.0,38.0,27.0
Belarus,0.05,4300.0,4397.0,6191.0,5925.0,5743.0,5525.0,5384.0,4970.0,9371.0
Belgium,0.0,75.0,78.0,93.0,90.0,83.0,71.0,61.0,60.0,64.0
Belize,0.01,45.0,40.0,39.0,32.0,23.0,17.0,20.0,17.0,18.0
Benin,0.0,340.0,302.0,457.0,461.0,442.0,411.0,318.0,265.0,215.0
Bhutan,3.0,23642.0,31567.0,41590.0,55603.0,72776.0,86773.0,102465.0,108098.0,108073.0
Bolivia,0.01,600.0,601.0,618.0,611.0,590.0,573.0,454.0,428.0,374.0
Bosnia and Herzegovina,0.57,21841.0,26756.0,51767.0,58515.0,62910.0,69911.0,74131.0,78273.0,199946.0
Botswana,0.01,237.0,168.0,127.0,85.0,53.0,30.0,26.0,16.0,12.0
Brazil,0.0,977.0,985.0,1076.0,1045.0,994.0,973.0,1404.0,1624.0,707.0
Brunei,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Bulgaria,0.02,1648.0,1880.0,2147.0,2327.0,2559.0,2745.0,3040.0,3311.0,3438.0
Burkina Faso,0.01,1853.0,1580.0,1456.0,1267.0,1141.0,986.0,721.0,554.0,376.0
Burundi,0.67,72493.0,72647.0,73363.0,101288.0,84064.0,94239.0,281592.0,375715.0,396541.0
Cambodia,0.09,13062.0,13713.0,13993.0,15184.0,16301.0,17011.0,17245.0,17697.0,17965.0
Cameroon,0.05,10766.0,11427.0,13382.0,15163.0,14963.0,14766.0,13870.0,11508.0,10384.0
Canada,0.0,95.0,99.0,119.0,105.0,90.0,99.0,101.0,530.0,95.0
Cape Verde,0.01,27.0,28.0,25.0,27.0,25.0,24.0,30.0,32.0,40.0
Central African Republic,7.88,410787.0,249044.0,162442.0,160736.0,162755.0,154005.0,120106.0,98104.0,71685.0
Cayman Islands,0.01,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chad,0.11,14855.0,15237.0,15844.0,18720.0,21583.0,21646.0,55105.0,55722.0,36300.0
Chile,0.0,579.0,596.0,1152.0,1189.0,1170.0,1312.0,994.0,970.0,805.0
China,0.02,210802.0,195133.0,193453.0,190369.0,184602.0,180558.0,175180.0,149095.0,140598.0
Colombia,0.22,103150.0,108117.0,111773.0,113605.0,113233.0,104388.0,77232.0,70120.0,72796.0
Comoros,0.08,581.0,513.0,454.0,422.0,368.0,268.0,378.0,96.0,72.0
Democratic Republic of Congo,0.69,516563.0,499355.0,509082.0,491481.0,476693.0,455852.0,367995.0,370386.0,401914.0
Republic of the Congo,0.32,14500.0,11753.0,12119.0,12839.0,20679.0,20544.0,19925.0,19735.0,20609.0
Cook Islands,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Costa Rica,0.01,417.0,463.0,325.0,331.0,352.0,344.0,354.0,361.0,284.0
Ivory Coast,0.32,71966.0,85652.0,100717.0,154824.0,41758.0,23153.0,22227.0,22232.0,26315.0
Croatia,0.93,40122.0,49756.0,62606.0,62649.0,65861.0,76478.0,97012.0,100423.0,93767.0
Cuba,0.06,6502.0,6460.0,6724.0,6849.0,6470.0,6549.0,6938.0,7123.0,33580.0
Curaçao,0.02,35.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cyprus,0.0,10.0,10.0,11.0,11.0,13.0,11.0,10.0,9.0,5.0
Czech Republic,0.01,1327.0,991.0,622.0,763.0,817.0,1067.0,1358.0,1384.0,2138.0
Denmark,0.0,12.0,10.0,9.0,9.0,9.0,10.0,11.0,14.0,12.0
Djibouti,0.1,879.0,762.0,640.0,602.0,566.0,622.0,650.0,648.0,486.0
Dominica,0.05,38.0,43.0,54.0,52.0,52.0,53.0,56.0,58.0,49.0
Dominican Republic,0.0,349.0,306.0,289.0,250.0,246.0,230.0,318.0,358.0,150.0
Ecuador,0.01,804.0,707.0,844.0,909.0,852.0,1027.0,1066.0,1332.0,887.0
Egypt,0.02,15903.0,12810.0,10016.0,7934.0,6911.0,6987.0,6777.0,6799.0,7613.0
El Salvador,0.18,10965.0,9635.0,8171.0,6720.0,4976.0,5051.0,5151.0,6022.0,6388.0
Equatorial Guinea,0.02,174.0,200.0,228.0,258.0,305.0,344.0,384.0,407.0,461.0
Eritrea,6.08,330541.0,273063.0,248024.0,220745.0,205458.0,197313.0,181971.0,208743.0,193745.0
Estonia,0.03,339.0,352.0,456.0,224.0,240.0,248.0,248.0,262.0,626.0
Ethiopia,0.09,86870.0,77122.0,74939.0,70586.0,68832.0,62873.0,63862.0,59832.0,74026.0
Fiji,0.1,924.0,1112.0,1317.0,1579.0,1851.0,1892.0,1868.0,1828.0,1685.0
Finland,0.0,7.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,6.0
France,0.0,93.0,98.0,100.0,99.0,92.0,87.0,101.0,101.0,82.0
French Polynesia,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gabon,0.01,172.0,176.0,183.0,173.0,165.0,144.0,129.0,116.0,95.0
Gambia,0.27,5136.0,3397.0,3076.0,2583.0,2242.0,1973.0,1352.0,1267.0,1254.0
Georgia,0.17,6681.0,6778.0,9261.0,9612.0,10143.0,10020.0,7598.0,6810.0,6340.0
Germany,0.0,176.0,175.0,182.0,174.0,164.0,170.0,166.0,129.0,114.0
Ghana,0.08,22143.0,21076.0,24296.0,20279.0,20201.0,14890.0,13239.0,5060.0,9960.0
Gibraltar,0.01,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
Greece,0.0,113.0,91.0,51.0,56.0,51.0,62.0,67.0,92.0,91.0
Grenada,0.3,324.0,330.0,316.0,323.0,345.0,333.0,312.0,297.0,202.0
Guatemala,0.05,7483.0,6615.0,6388.0,6088.0,5679.0,5768.0,5934.0,6161.0,6496.0
Guinea,0.12,15252.0,14561.0,14061.0,13161.0,11985.0,10920.0,9495.0,8278.0,6840.0
Guinea-Bissau,0.07,1307.0,1223.0,1180.0,1123.0,1127.0,1109.0,1065.0,1028.0,1004.0
Guyana,0.09,700.0,800.0,801.0,771.0,749.0,727.0,708.0,677.0,537.0
Haiti,0.35,37162.0,38659.0,38568.0,33661.0,25892.0,24116.0,23066.0,22280.0,20837.0
Honduras,0.05,4159.0,3300.0,2613.0,1966.0,1302.0,1166.0,1116.0,1236.0,1035.0
Hong Kong,0.0,25.0,25.0,19.0,15.0,17.0,12.0,11.0,11.0,10.0
Hungary,0.01,1267.0,1220.0,1087.0,1238.0,1438.0,1537.0,1614.0,3386.0,3118.0
Iceland,0.0,1.0,2.0,3.0,3.0,4.0,4.0,7.0,7.0,31.0
India,0.0,10436.0,11041.0,14258.0,16232.0,17769.0,19514.0,19569.0,20463.0,17811.0
Indonesia,0.0,9562.0,9640.0,10051.0,10659.0,11085.0,12478.0,18852.0,20230.0,34728.0
Iran,0.11,82191.0,75070.0,75938.0,72347.0,68795.0,72773.0,69061.0,68397.0,102483.0
Iraq,1.04,369954.0,401466.0,746190.0,1428308.0,1683575.0,1785212.0,1873519.0,2279245.0,1450905.0
Ireland,0.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,10.0,4.0
Israel,0.01,979.0,1041.0,1340.0,1335.0,1301.0,1310.0,1494.0,1541.0,882.0
Italy,0.0,67.0,66.0,66.0,58.0,50.0,45.0,62.0,90.0,105.0
Jamaica,0.06,1692.0,1503.0,1407.0,1252.0,1057.0,909.0,826.0,766.0,660.0
Japan,0.0,262.0,157.0,172.0,176.0,152.0,150.0,185.0,521.0,168.0
Jordan,0.02,1718.0,1632.0,2358.0,2248.0,2252.0,2127.0,1889.0,1786.0,1604.0
Kazakhstan,0.01,2224.0,2123.0,3571.0,3500.0,3640.0,3744.0,4825.0,5235.0,7376.0
Kenya,0.02,8553.0,8586.0,8950.0,8745.0,8602.0,9620.0,9688.0,7546.0,5356.0
Kiribati,0.0,3.0,20.0,33.0,33.0,33.0,33.0,38.0,38.0,41.0
North Korea,0.01,1282.0,1167.0,1132.0,1052.0,917.0,881.0,886.0,605.0,397.0
South Korea,0.0,481.0,500.0,558.0,514.0,585.0,573.0,1104.0,1188.0,1335.0
Kuwait,0.03,981.0,977.0,1197.0,1120.0,988.0,938.0,854.0,746.0,617.0
Kyrgyzstan,0.04,2451.0,2301.0,3489.0,3162.0,2744.0,2612.0,2517.0,2254.0,2488.0
Laos,0.11,7482.0,7744.0,7983.0,8087.0,8413.0,8398.0,8598.0,10013.0,26447.0
Latvia,0.01,213.0,233.0,662.0,709.0,713.0,791.0,763.0,662.0,1424.0
Lebanon,0.08,4273.0,3819.0,15106.0,15013.0,15869.0,16259.0,12966.0,13093.0,12252.0
Lesotho,0.0,17.0,15.0,13.0,11.0,11.0,10.0,8.0,7.0,9.0
Liberia,0.31,13545.0,17531.0,23401.0,66752.0,70089.0,71572.0,75213.0,91537.0,160548.0
