Country Name,Population,Yearly Change (%),Net Change,Density (P/Km²),Land Area (Km²),Net Migrants,Refugees per 1000,Refugees in (2016),Refugees in (2015),Refugees in (2014),Refugees in (2013),Refugees in (2012),Refugees in (2011),Refugees in (2010),Refugees in (2009),Refugees in (2008),Refugees in (2007)
China,1439323776,0.39,5540090,153,9388211,-348399,0.22,317255,301057,301052,301047,301037,301018,300986,300989,300967,301078
India,1380004385,0.99,13586631,464,2973190,-532687,0.15,197851,200383,199937,188395,185656,185118,184821,185323,184543,161537
United States,331002651,0.59,1937734,36,9147420,954806,0.84,272959,267222,267222,263662,262023,264763,264574,275461,279548,281219
Indonesia,273523615,1.07,2898047,151,1811570,-98955,0.02,7827,5277,4270,3206,1819,1006,811,798,369,315
Pakistan,220892340,2.0,4327022,287,770880,-233379,8.33,1352560,1540854,1505525,1616507,1638456,1702700,1900621,759392,765720,887273
Brazil,212559417,0.72,1509890,25,8358140,21200,0.04,9689,7762,7490,5196,4689,4477,4357,4232,3852,3783
Nigeria,206139589,2.58,5175990,226,910770,-60000,0.01,1367,1279,1239,1694,3154,8806,8747,9127,10124,8460
Bangladesh,164689383,1.01,1643222,1265,130170,-369501,1.46,950000,32975,32472,31145,30697,29669,29253,28586,28389,27573
Russia,145934462,0.04,62206,9,16376870,182456,2.2,228990,315313,235750,3458,3178,3914,4922,4880,3479,1655
Mexico,128932753,1.06,1357224,66,1943950,-60000,0.02,6202,2158,1837,1831,1520,1677,1395,1235,1055,1616
Japan,126476461,-0.3,-383840,347,364555,71560,0.02,2514,2419,2560,2584,2581,2649,2586,2332,2019,1794
Ethiopia,114963588,2.57,2884858,115,1000000,30000,7.24,791631,702467,659524,433936,376393,288844,154295,121886,83583,85183
Egypt,102334404,1.94,1946331,103,995450,-38033,2.53,213530,226344,236090,230086,109933,95087,95056,94406,97861,97556
Democratic Republic of Congo,89561403,3.19,2770836,40,2267050,23861,2.14,451956,160271,119754,113362,65109,152749,166336,185809,155162,177390
Turkey,84339067,1.09,909452,110,769630,283922,23.72,2869421,1838848,1587374,609938,267063,14465,10032,10350,11103,6956
Iran,83992949,1.3,1079043,52,1628550,-55000,12.53,979435,979441,982027,857354,868242,886468,1073366,1070488,980109,963546
Germany,83783942,0.32,266897,240,348560,543822,3.1,669482,250299,216973,187567,589737,571685,594269,593799,582735,578879
Thailand,69799978,0.25,174396,137,510890,19444,1.63,54251,56947,75137,78970,84479,89253,96675,105297,112932,125643
United Kingdom,67886011,0.53,355839,281,241930,260650,1.82,118995,117234,117234,126055,149799,193510,238150,269363,292097,299718
France,65273511,0.22,143783,119,547557,36527,4.13,304546,264972,252264,232487,217865,210207,200687,196364,160017,151789
Italy,60461826,-0.15,-88249,206,294140,148943,1.57,147370,93715,93715,76264,64779,58060,56397,54965,47061,38068
Tanzania,59734218,2.98,1728755,67,885800,-40076,3.07,281498,159014,88492,102099,101021,131243,109286,118731,321909,435630
South Africa,59308690,1.28,750420,49,1213090,145405,2.12,91043,114512,112192,65987,65233,57899,57899,47974,43546,36736
Kenya,53771296,2.28,1197323,94,569140,-10000,12.31,451099,552272,551352,534938,564933,566487,402905,358928,320605,265729
South Korea,51269185,0.09,43877,527,97230,11731,0.03,1807,1313,1173,548,487,401,358,268,172,118
Spain,46754778,0.04,18002,94,498800,40000,0.13,12989,5798,5798,4637,4510,4228,3820,3970,4661,5147
Uganda,45741007,3.32,1471413,229,199810,168694,11.34,940835,428397,385513,220555,197877,139448,135801,127345,162132,228959
